Site,Date,JDAY,Depth_m,Lab_Parameter,Lab_Units,Value
Site1,1/8/2013 11:27,8.477083333,1,Chlorophyll a,ug/L,2.375
Site1,1/8/2013 11:27,8.477083333,1,Chlorophyll a,RFUs,0.57
Site2,1/8/2013 11:27,8.477083333,1,Chlorophyll a,ug/L,2.565
Site2,1/8/2013 11:27,8.477083333,1,Chlorophyll a,RFUs,0.6156
Site1,1/8/2013 11:27,8.477083333,1,Dissolved Oxygen,%,89.3
Site1,1/8/2013 11:27,8.477083333,1,Dissolved Oxygen,mg/l,10.697
Site2,1/8/2013 11:27,8.477083333,1,Dissolved Oxygen,%,96.444
Site2,1/8/2013 11:27,8.477083333,1,Dissolved Oxygen,mg/l,11.5528
Site1,1/8/2013 11:27,8.477083333,1,Temperature,deg C,7.239
Site2,1/8/2013 11:27,8.477083333,1,Temperature,deg C,7.8181
Site1,2/25/2013 10:41,56.44513889,1,Dissolved Oxygen,%,92.435
Site1,2/25/2013 10:41,56.44513889,1,Dissolved Oxygen,mg/l,10.659
Site2,2/25/2013 10:41,56.44513889,1,Dissolved Oxygen,%,99.8298
Site2,2/25/2013 10:41,56.44513889,1,Dissolved Oxygen,mg/l,11.5117
Site1,2/25/2013 10:41,56.44513889,1,Temperature,deg C,8.683
Site2,2/25/2013 10:41,56.44513889,1,Temperature,deg C,9.3776
Site1,2/25/2013 10:50,56.45138889,3,Dissolved Oxygen,mg/l,10.507
Site1,2/25/2013 10:50,56.45138889,3,Dissolved Oxygen,%,90.345
Site2,2/25/2013 10:50,56.45138889,3,Dissolved Oxygen,mg/l,11.3476
Site2,2/25/2013 10:50,56.45138889,3,Dissolved Oxygen,%,97.5726
Site1,2/25/2013 10:50,56.45138889,3,Temperature,deg C,8.322
Site2,2/25/2013 10:50,56.45138889,3,Temperature,deg C,8.9878
Site1,2/25/2013 10:52,56.45277778,5,Dissolved Oxygen,%,89.965
Site1,2/25/2013 10:52,56.45277778,5,Dissolved Oxygen,mg/l,10.469
Site2,2/25/2013 10:52,56.45277778,5,Dissolved Oxygen,%,97.1622
Site2,2/25/2013 10:52,56.45277778,5,Dissolved Oxygen,mg/l,11.3065
Site1,2/25/2013 10:52,56.45277778,5,Temperature,deg C,8.284
Site2,2/25/2013 10:52,56.45277778,5,Temperature,deg C,8.9467
Site1,2/25/2013 10:57,56.45625,7,Dissolved Oxygen,%,89.585
Site1,2/25/2013 10:57,56.45625,7,Dissolved Oxygen,mg/l,10.4405
Site2,2/25/2013 10:57,56.45625,7,Dissolved Oxygen,%,96.7518
Site2,2/25/2013 10:57,56.45625,7,Dissolved Oxygen,mg/l,11.2757
Site1,2/25/2013 10:57,56.45625,7,Temperature,deg C,8.227
Site2,2/25/2013 10:57,56.45625,7,Temperature,deg C,8.8852
Site1,2/25/2013 11:01,56.45902778,9,Dissolved Oxygen,%,85.88
Site1,2/25/2013 11:01,56.45902778,9,Dissolved Oxygen,mg/l,10.0795
Site2,2/25/2013 11:01,56.45902778,9,Dissolved Oxygen,%,92.7504
Site2,2/25/2013 11:01,56.45902778,9,Dissolved Oxygen,mg/l,10.8859
Site1,2/25/2013 11:01,56.45902778,9,Temperature,deg C,7.904
Site2,2/25/2013 11:01,56.45902778,9,Temperature,deg C,8.5363
Site1,2/25/2013 11:03,56.46041667,11,Dissolved Oxygen,mg/l,9.88
