Constituent,Julian_day,Depth,Elevation,Seg_29 ,Elevation,Seg_15 ,Elevation
Temperature,8.5,0.303,86.273,6.284,86.273,6.78,
Temperature,8.5,0.911,85.665,6.193,85.665,6.672,
Temperature,8.5,1.521,85.055,6.15,85.055,6.629,
Temperature,8.5,2.131,84.445,6.127,84.445,6.608,
Temperature,8.5,2.741,83.835,6.111,83.835,6.597,
Temperature,8.5,3.351,83.225,6.102,83.225,6.589,
Temperature,8.5,3.961,82.615,6.094,82.615,6.583,
Temperature,8.5,4.571,82.005,6.088,82.005,6.574,
Temperature,8.5,5.181,81.395,6.083,81.395,6.543,
Temperature,8.5,5.791,80.785,6.079,80.785,6.49,
Temperature,8.5,6.401,80.175,6.075,80.175,6.447,
Temperature,8.5,7.011,79.565,6.072,79.565,6.409,
Temperature,8.5,7.621,78.955,6.071,78.955,6.379,
Temperature,8.5,8.231,78.345,6.069,78.345,6.354,
Temperature,8.5,8.841,77.735,6.067,77.735,6.333,
Temperature,8.5,9.451,77.125,6.065,77.125,6.316,
Temperature,8.5,10.061,76.515,6.065,76.515,6.302,
Temperature,8.5,10.671,75.905,6.055,75.905,6.29,
Temperature,8.5,11.281,75.295,6.029,75.295,6.28,
Temperature,8.5,11.891,74.685,5.981,74.685,6.27,
Temperature,8.5,12.501,74.075,5.92,74.075,6.262,
Temperature,8.5,13.111,73.465,5.871,73.465,6.256,
Temperature,8.5,13.721,72.855,5.847,72.855,6.25,
Temperature,8.5,14.331,72.245,5.839,72.245,6.245,
Temperature,8.5,14.941,71.635,5.831,71.635,6.24,
Temperature,8.5,15.551,71.025,5.824,71.025,6.235,
Temperature,8.5,16.161,70.415,5.82,70.415,6.231,
Temperature,8.5,16.771,69.805,5.815,69.805,-99,
Temperature,8.5,17.381,69.195,5.81,69.195,-99,
Temperature,8.5,17.991,68.585,5.806,68.585,-99,
Temperature,8.5,18.601,67.975,5.803,67.975,-99,
Temperature,8.5,19.211,67.365,5.799,67.365,-99,
Temperature,8.5,19.821,66.755,5.796,66.755,-99,
Temperature,8.5,20.431,66.145,5.792,66.145,-99,
Temperature,8.5,21.041,65.535,5.789,65.535,-99,
Temperature,8.5,21.651,64.925,5.786,64.925,-99,
Temperature,8.5,22.261,64.315,5.783,64.315,-99,
Temperature,8.5,22.871,63.705,5.78,63.705,-99,
Temperature,8.5,23.481,63.095,5.778,63.095,-99,
Temperature,8.5,24.091,62.485,5.777,62.485,-99,
Temperature,8.5,24.701,61.875,5.777,61.875,-99,
Temperature,8.5,25.311,61.265,-99,61.265,-99,
